Unnamed: 0,Borough,Neighborhood,ID,Name
118,Staten Island,New Brighton,4b9be038f964a520393036e3,Dosa Garden
119,Staten Island,Port Richmond,4b9e7790f964a5206ae636e3,Chirag
120,Staten Island,New Dorp,4be74a502468c928505a0243,Taste Of India II
121,Staten Island,Tompkinsville,4b9be038f964a520393036e3,Dosa Garden
122,Brooklyn,Ditmas Park,519ff6c8498e1300ddcbd45c,Anarkali Indian Cuisine
123,Brooklyn,Ditmas Park,4db0f4371e729fcc56497f20,Mashallah
124,Staten Island,Park Hill,4b65f2e3f964a5206e0a2be3,Al-Humza
125,Staten Island,Grant City,4be74a502468c928505a0243,Taste Of India II
126,Manhattan,Carnegie Hill,5272ca4511d22488f6895caf,Drunken Munkey
127,Manhattan,Civic Center,4bbb9dbded7776b0e1ad3e51,Tamarind TriBeCa
128,Queens,Jamaica Hills,4bad49a0f964a52041423be3,Annam Brahma
129,Queens,Jamaica Hills,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant
130,Queens,Jamaica Hills,4cc08b0900d83704ed474b5c,Sybil's Bakery
131,Queens,Jamaica Hills,4cb4a712db32f04dcb5adf4d,Moon Tikka
132,Queens,Astoria Heights,4f5c0b29e4b04e12661cac80,Star Light Grill Restaurant
133,Queens,Astoria Heights,4c2e8df2213c2d7f94742f5d,Tikka Grill
134,Bronx,Concourse Village,551b7f75498e86c00a0ed2e1,Hungry Bird
135,Manhattan,Sutton Place,4a63bfb4f964a520b3c51fe3,Chola Eclectic Indian Cuisine
136,Manhattan,Sutton Place,4fe4fb50c2eee335e4fea69d,Moti Mahal Delux
137,Manhattan,Sutton Place,4f57f98fe4b0bd50f6bb8b31,The Kati Roll Company
138,Manhattan,Turtle Bay,4a5b660df964a52015bb1fe3,Amma
139,Manhattan,Turtle Bay,4f57f98fe4b0bd50f6bb8b31,The Kati Roll Company
140,Manhattan,Stuyvesant Town,5f5423f910e74b2b1f283729,Veeray Da Dhaba
141,Queens,Blissville,5b931ea69d7468002c3b1382,Adda
142,Brooklyn,Broadway Junction,5539753f498edbace4746b67,Tandoori Masala
143,Brooklyn,Erasmus,564d283d498e6e851df79d87,Great Indian Curry
144,Brooklyn,Erasmus,4e8b96bed3e303e9db3555fd,Bombay Masala
145,Queens,Queensbridge,50a287a7e4b0033f830f06db,Raj's Indian Kitchen
146,Queens,Queensbridge,4b1b341bf964a5208af923e3,Five Star Banquet
147,Staten Island,Fox Hills,4b65f2e3f964a5206e0a2be3,Al-Humza
